csúcsid;alcsúcsid;MEGNEVEZES;alcsúcsid_megnevezes;MERTEKEGYSEG;kapcsolat
m216;0;A mérések idõpontjában szívelégtelensége volt-e?;igen;NULL;m209,
m216;1;A mérések idõpontjában szívelégtelensége volt-e?;nem ismert;NULL;m209,
m217;-1; A mérések idõpontja elõtt volt-e nagy fizikai terhelésnek kitéve?;nem;NULL;
m217;0; A mérések idõpontja elõtt volt-e nagy fizikai terhelésnek kitéve?;igen;NULL;
m217;1; A mérések idõpontja elõtt volt-e nagy fizikai terhelésnek kitéve?;nem ismert;NULL;
m219;0;Kimondható-e, hogy nem beállított diabetesze van?;nem kiértékelhetõ;NULL;
m219;1;Kimondható-e, hogy nem beállított diabetesze van?;Nem;NULL;
m219;2;Kimondható-e, hogy nem beállított diabetesze van?;Igen;NULL;
m220;0;Szedett a mérés ideje alatt nem szteroid típusú gyulladáscsökkentõt?;nem;NULL;
m220;1;Szedett a mérés ideje alatt nem szteroid típusú gyulladáscsökkentõt?;igen;NULL;
m220;2;Szedett a mérés ideje alatt nem szteroid típusú gyulladáscsökkentõt?;nem ismert;NULL;
m221;0;Álpozitív albuminuria mérési eredményrõl lehet szó?;nem kiértékelhetõ;NULL;
m221;1;Álpozitív albuminuria mérési eredményrõl lehet szó?;nem;NULL;
m221;2;Álpozitív albuminuria mérési eredményrõl lehet szó?;igen;NULL;
m221;3;Ajánlott szenzitív albuminuria eltérést kimutató tesztcsík használata?;nem számolható;NULL;
m222;0;Ajánlott szenzitív albuminuria eltérést kimutató tesztcsík használata?;nem;NULL;
m222;1;Ajánlott szenzitív albuminuria eltérést kimutató tesztcsík használata?;igen;NULL;
m222;2;Haskörfogat-csípõ körfogat aránya;NULL;NULL;
m223;0;Haskörfogat-csípõkörfogat arány besorolása;Nem besorolható;NULL;m1056,
m223;1;Haskörfogat-csípõkörfogat arány besorolása;normális;NULL;m1056,
m223;2;Haskörfogat-csípõkörfogat arány besorolása;kóros;NULL;m1056,
m224;0;Véleménye szerint okoz betegséget a túlzott só fogyasztás?;nem;NULL;m1056,
m224;1;Véleménye szerint okoz betegséget a túlzott só fogyasztás?;igen;NULL;m1056,
m224;2;Véleménye szerint okoz betegséget a túlzott só fogyasztás?;nem ismert;NULL;m1056,
m225;0;Milyen gyakran fogyaszt zöldséget, gyümölcsöt?;nem ismert;NULL;m1056,
m225;1;Milyen gyakran fogyaszt zöldséget, gyümölcsöt?;naponta;NULL;m1056,
m225;2;Milyen gyakran fogyaszt zöldséget, gyümölcsöt?;hetente;NULL;m1056,
m226;0;Milyen gyakran fogyaszt zöldséget, gyümölcsöt?;havonta;NULL;
m226;1;Tapasztal rendszeres fülzúgást?;nem;NULL;
m226;2;Tapasztal rendszeres fülzúgást?;igen;NULL;
m227;0;Tapasztal rendszeres fülzúgást?;nem ismert;NULL;
m227;1;Van asztma, allergia betegsége?;nem;NULL;
m227;2;Van asztma, allergia betegsége?;igen;NULL;
m228;0;Van asztma, allergia betegsége?;nem ismert;NULL;
m228;1;Van szembetegsége?;nem;NULL;
m228;2;Van szembetegsége?;igen;NULL;
m228;3;Van szembetegsége?;nem ismert;NULL;
m229;0;Van hallásvesztesége?;nem;NULL;
m229;1;Van hallásvesztesége?;igen;NULL;
m229;2;Van hallásvesztesége?;nem ismert;NULL;
m230;0;Artéria vizsgálati összpontszám;nem;NULL;m565,m566,m567,
m231;0;Artéria vizsgálati összpontszám;igen;NULL;
m231;1;Artéria vizsgálati összpontszám;nem ismert;NULL;
m231;2;Artéria vizsgálat értékelése (MAESZ);eltérõ érték;NULL;
m232;0;Artéria vizsgálat értékelése (MAESZ);megfelelõ érték;NULL;
m232;1;Artéria vizsgálat értékelése (MAESZ);ismeretlen;NULL;
m232;2;Ödéma vizsgálat;nem ismert;NULL;
m233;0;Ödéma vizsgálat;normál;NULL;
m233;1;Ödéma vizsgálat;enyhe;NULL;
m233;2;Ödéma vizsgálat;kóros;NULL;
m234;0;Ödéma viszgálat értékelése (MAESZ);eltérõ érték;NULL;
m234;1;Ödéma viszgálat értékelése (MAESZ);megfelelõ érték;NULL;
m234;2;Ödéma viszgálat értékelése (MAESZ);ismeretlen;NULL;
m235;0;Csontok ásványianyag tartalma (kg);ism;Kg;
m235;1;Csontok ásványianyag tartalmának megfelelõsége (MÁESZ);eltérõ érték;NULL;
m235;2;Csontok ásványianyag tartalmának megfelelõsége (MÁESZ);megfelelõ érték;NULL;
m236;0;Csontok ásványianyag tartalmának megfelelõsége (MÁESZ);ismeretlen;NULL;m267,
m236;1;Hallásvizsgálat jobb 500 dB/Hz;eltérõ érték;NULL;m267,
m236;2;Hallásvizsgálat jobb 500 dB/Hz;megfelelõ érték;NULL;m267,
m237;0;Hallásvizsgálat jobb 500 dB/Hz;ismeretlen;NULL;
m237;1;Hallásvizsgálat jobb 1000 dB/Hz;eltérõ érték;NULL;
m237;2;Hallásvizsgálat jobb 1000 dB/Hz;megfelelõ érték;NULL;
m238;0;Hallásvizsgálat jobb 1000 dB/Hz;ismeretlen;NULL;
m238;1;Hallásvizsgálat jobb 2000 dB/Hz;eltérõ érték;NULL;
m238;2;Hallásvizsgálat jobb 2000 dB/Hz;megfelelõ érték;NULL;
m239;0;Hallásvizsgálat jobb 2000 dB/Hz;ismeretlen;NULL;
m239;1;Hallásvizsgálat jobb 4000 dB/Hz;eltérõ érték;NULL;
m239;2;Hallásvizsgálat jobb 4000 dB/Hz;megfelelõ érték;NULL;
m240;0;Hallásvizsgálat jobb 4000 dB/Hz;ismeretlen;NULL;
m240;1;Hallásvizsgálat jobb oldal megfelelõsége (MAESZ);eltérõ érték;NULL;
m240;2;Hallásvizsgálat jobb oldal megfelelõsége (MAESZ);megfelelõ érték;NULL;
m241;0;Hallásvizsgálat jobb oldal megfelelõsége (MAESZ);ismeretlen;NULL;m267,
m241;1;Hallásvizsgálat bal 500 dB/Hz;eltérõ érték;NULL;m267,
m241;2;Hallásvizsgálat bal 500 dB/Hz;megfelelõ érték;NULL;m267,
m242;0;Hallásvizsgálat bal 500 dB/Hz;ismeretlen;NULL;
m242;1;Hallásvizsgálat bal 1000 dB/Hz;eltérõ érték;NULL;
m242;2;Hallásvizsgálat bal 1000 dB/Hz;megfelelõ érték;NULL;
m243;0;Hallásvizsgálat bal 1000 dB/Hz;ismeretlen;NULL;
m243;1;Hallásvizsgálat bal 2000 dB/Hz;eltérõ érték;NULL;
m243;2;Hallásvizsgálat bal 2000 dB/Hz;megfelelõ érték;NULL;
m244;0;Hallásvizsgálat bal 2000 dB/Hz;ismeretlen;NULL;
m244;1;Hallásvizsgálat bal 4000 dB/Hz;eltérõ érték;NULL;
m244;2;Hallásvizsgálat bal 4000 dB/Hz;megfelelõ érték;NULL;
m245;0;Hallásvizsgálat bal 4000 dB/Hz;ismeretlen;NULL;m422,m424,m423,m843,
m246;0;Hallásvizsgálat bal oldal megfelelõsége (MAESZ);eltérõ érték;NULL;m422,m425,m423,m843,
m247;0;Hallásvizsgálat bal oldal megfelelõsége (MAESZ);megfelelõ érték;NULL;
m247;1;Hallásvizsgálat bal oldal megfelelõsége (MAESZ);ismeretlen;NULL;
m247;2;Szemfenék vizsgálat jobb oldal;eltérõ;NULL;
m248;0;Szemfenék vizsgálat jobb oldal;megfelelõ;NULL;
m248;1;Szemfenék vizsgálat jobb oldal;ismeretlen;NULL;
m248;2;Szemfenék vizsgálat bal oldal;eltérõ;NULL;
m250;-1;Szemfenék vizsgálat bal oldal;megfelelõ;NULL;
m255;0;Szemfenék vizsgálat bal oldal;ismeretlen;NULL;
m255;1;Szemfenék vizsgálat megfelelõsége (MAESZ);eltérõ érték;NULL;
m255;2;Szemfenék vizsgálat megfelelõsége (MAESZ);megfelelõ érték;NULL;
m256;0;Szemfenék vizsgálat megfelelõsége (MAESZ);ismeretlen;NULL;
m256;1;Szemnyomás vizsgálat jobb oldal;ism;Hgmm;
m256;2;Szemnyomás vizsgálat bal oldal;ism;Hgmm;
m258;0;Szemnyomás vizsgálat kiértékelése (MAESZ);eltérõ érték;NULL;
m258;1;Szemnyomás vizsgálat kiértékelése (MAESZ);megfelelõ érték;NULL;
m258;2;Szemnyomás vizsgálat kiértékelése (MAESZ);ismeretlen;NULL;
m259;0;Derék-csípõ arány kiértékelése (MAESZ);eltérõ érték;NULL;
m259;1;Derék-csípõ arány kiértékelése (MAESZ);megfelelõ érték;NULL;
m259;2;Derék-csípõ arány kiértékelése (MAESZ);ismeretlen;NULL;
m259;3;Hasi zsírterület vizsgálat;NULL;cm2;
m259;4;Pulzus;nem ismert; /perc;
m259;5;Testzsír %;NULL;%;
m259;6;Belsõ szervek közti (visceláris) zsír %;NULL;%;
m259;7;Vázizom %;NULL;%;
m260;0;Nyugalmi állapotú energia felhasználás (RMR);NULL;kcal/nap;
m260;1;Minden MAESZ mezõ rendben;nem;NULL;
m260;2;Minden MAESZ mezõ rendben;igen;NULL;
m260;3;Minden MAESZ mezõ rendben;nem ismert;NULL;
m260;4;Hasi zsírterület értékelése (MAESZ);eltérõ érték;NULL;
m260;5;Hasi zsírterület értékelése (MAESZ);megfelelõ érték;NULL;
m260;6;Hasi zsírterület értékelése (MAESZ);ismeretlen;NULL;
m260;7;BMI (MAESZ rögzített);NULL;Kg/m2;
m261;0;BMI értékelés (MAESZ);eltérõ érték;NULL;
m261;1;BMI értékelés (MAESZ);megfelelõ érték;NULL;
m261;2;BMI értékelés (MAESZ);ismeretlen;NULL;
m261;3;Fogyaszt-e energiaitalt?;nem ismert;NULL;
m261;4;Fogyaszt-e energiaitalt?;nem;NULL;
m261;5;Fogyaszt-e energiaitalt?;alkalmanként;NULL;
m261;6;Fogyaszt-e energiaitalt?;havonta;NULL;
m261;7;Fogyaszt-e energiaitalt?;2 hetente;NULL;
m262;0;Fogyaszt-e energiaitalt?;hetente egyszer;NULL;m263,
m262;1;Fogyaszt-e energiaitalt?;hetente 2-3szor;NULL;m263,
m262;2;Fogyaszt-e energiaitalt?;naponta;NULL;m263,
m262;3;Fogyaszt-e kávét?;nem ismert;NULL;m263,
m262;4;Fogyaszt-e kávét?;nem;NULL;m263,
m262;5;Fogyaszt-e kávét?;alkalmanként;NULL;m263,
m262;6;Fogyaszt-e kávét?;havonta;NULL;m263,
m262;7;Fogyaszt-e kávét?;2 hetente;NULL;m263,
m262;8;Fogyaszt-e kávét?;hetente egyszer;NULL;m263,
m262;9;Fogyaszt-e kávét?;hetente 2-3szor;NULL;m263,
m262;10;Fogyaszt-e kávét?;naponta;NULL;m263,
m262;11;Fogyaszt-e alkoholt?;nem ismert;NULL;m263,
m262;12;Fogyaszt-e alkoholt?;nem;NULL;m263,
m262;13;Fogyaszt-e alkoholt?;alkalmanként;NULL;m263,
m262;14;Fogyaszt-e alkoholt?;havonta;NULL;m263,
m262;15;Fogyaszt-e alkoholt?;2 hetente;NULL;m263,
m262;16;Fogyaszt-e alkoholt?;hetente egyszer;NULL;m263,
m263;0;Fogyaszt-e alkoholt?;hetente 2-3szor;NULL;
m263;1;Fogyaszt-e alkoholt?;naponta;NULL;
m263;2;Debreceni Egyetemi Karok;nem ismert;NULL;
m263;3;Debreceni Egyetemi Karok;Állam- és Jogtudományi Kar;NULL;
m264;0;Debreceni Egyetemi Karok;Általános Orvostudományi Kar;NULL;
m264;1;Debreceni Egyetemi Karok;Bölcsészettudományi Kar;NULL;
m264;2;Debreceni Egyetemi Karok;Egészségügyi Kar;NULL;
m264;3;Debreceni Egyetemi Karok;Fogorvostudományi Kar;NULL;
m264;4;Debreceni Egyetemi Karok;Gazdálkodástudományi és Vidékfejlesztési Kar;NULL;
m265;0;Debreceni Egyetemi Karok;Gyermeknevelési és Felnõttképzési Kar;NULL;
m265;1;Debreceni Egyetemi Karok;Gyógyszerésztudományi Kar;NULL;
m265;2;Debreceni Egyetemi Karok;Informatikai Kar;NULL;
m266;-1;Debreceni Egyetemi Karok;Közgazdaság- és Gazdaságtudományi Kar;NULL;m264,m760,
m266;0;Debreceni Egyetemi Karok;Mûszaki Kar;NULL;m264,m760,
m267;0;Debreceni Egyetemi Karok;Mezõgazdasági, Élelmiszertudományi és Környezetgazdálkodási Kar;NULL;
m267;1;Debreceni Egyetemi Karok;Természettudományi és Technológiai Kar;NULL;
m267;2;Debreceni Egyetemi Karok;Zenemûvészeti Kar;NULL;
m268;0;Debreceni Egyetemi Karok;Népegészségügyi Kar;NULL;
m269;0;Debreceni Egyetemi Karok;Egyéb szervezeti egység;NULL;
m269;1;Debreceni Centrumok;Nem ismert;NULL;
m269;2;Debreceni Centrumok;Agrár- és Gazdálkodástudományok Centruma (AGTC);NULL;
m270;0;Debreceni Centrumok;Orvos és Egészségtudományi Centrum (OEC);NULL;
m271;-1;Debreceni Centrumok;Tudományegyetemi Karok (TEK);NULL;
m271;0;Testzsír% besorolása;nem számítható;NULL;
m274;0;Testzsír% besorolása;karcsú;NULL;
m274;2010;Testzsír% besorolása;normál;NULL;
m274;2011;Testzsír% besorolása;túlsúlyos;NULL;
m274;2012;Testzsír% besorolása;elhízott;NULL;
m274;2013;Túlsúly,koleszterin és vérnyomás probléma,;nem értelmezhetõ;NULL;
m274;2014;Túlsúly,koleszterin és vérnyomás probléma,;nincs probléma;NULL;
m274;2015;Túlsúly,koleszterin és vérnyomás probléma,;probléma van;NULL;
m274;2016;Testzsír% besoroláshoz használt testzsír%;nem számítható;%;
m274;2017;Testzsír% besoroláshoz használt testzsír%;NULL;%;
m274;2018;Hallásvizsgálat összevont eredménye;eltérõ;NULL;
m274;2019;Hallásvizsgálat összevont eredménye;normális;NULL;
m274;2020;Hallásvizsgálat összevont eredménye;nem számolható;NULL;
m274;2021;Csonttörési rizikó felmérése;ism;NULL;
m274;2022;Csonttörés rizikó felmérésének kiértékelése (MAESZ);eltérõ érték;NULL;
m274;2023;Csonttörés rizikó felmérésének kiértékelése (MAESZ);megfelelõ érték;NULL;
m275;0;Csonttörés rizikó felmérésének kiértékelése (MAESZ);ismeretlen;NULL;
m275;1;Születési dátum;ismeretlen;NULL;
m275;2;Magyarország régiói;ismeretlen;NULL;
m275;3;Magyarország régiói;=c_Regions(m271).name;NULL;
m275;4;Adatfelvétel idõpontja;NULL;NULL;
m275;5;Az adafelvétel éve;év;NULL;
m275;6;Az adafelvétel éve;2010;NULL;
m275;7;Az adafelvétel éve;2011;NULL;
m275;8;Az adafelvétel éve;2012;NULL;
m275;9;Az adafelvétel éve;2013;NULL;
m275;10;Az adafelvétel éve;2014;NULL;
m275;11;Az adafelvétel éve;2015;NULL;
m275;12;Az adafelvétel éve;2016;NULL;
m276;0;Az adafelvétel éve;2017;NULL;
m277;0;Az adafelvétel éve;2018;NULL;
m277;1;Az adafelvétel éve;2019;NULL;
m277;2;Az adafelvétel éve;2020;NULL;
m277;3;Az adafelvétel éve;2021;NULL;
m277;4;Az adafelvétel éve;2022;NULL;
m277;5;Az adafelvétel éve;2023;NULL;
m277;6;haskörfogat - testmagasság hányados;Nem számítható;cm/m;
m277;7;haskörfogat - testmagasság hányados;hask/testmagasság;cm/m;
m278;0;Számított vázizom %;Nem számítható;%;
m278;1;Számított vázizom %;vázizom %;%;
m278;2;Számított testzsír %;Nem számítható;%;
m278;3;Számított testzsír %;testzsír %;%;
m278;4;BMI besorolás (elhízástud);Nem besorolható;Kg/m2;
m278;5;BMI besorolás (elhízástud);sovány;Kg/m2;
m278;6;BMI besorolás (elhízástud);normális;Kg/m2;
m278;7;BMI besorolás (elhízástud);tulsúlyos;Kg/m2;
m278;8;BMI besorolás (elhízástud);elhízott I.;Kg/m2;
m278;9;BMI besorolás (elhízástud);elhízott II.;Kg/m2;
m278;10;BMI besorolás (elhízástud);elhízott III.;Kg/m2;
m278;11;testzsír% besorolás (elhízástud);Nem besorolható;%;
m278;12;testzsír% besorolás (elhízástud);csökkent;%;
m278;13;testzsír% besorolás (elhízástud);normál;%;
m278;14;testzsír% besorolás (elhízástud);emelkedett;%;
m278;15;Számított haskörfogat-csípõkörf. hányados;nem számítható;NULL;
m278;16;Számított haskörfogat-csípõkörf. hányados;NULL;NULL;
m278;17;Besoroláshoz felhasznált has-csípõ körf. hányados;érték;NULL;
m278;18;Számított csípõkörfogat;nem számolható;cm;
m278;19;Számított csípõkörfogat;NULL;cm;
m278;20;Haskörf-testmag négyzet hányados;Nem számítható;cm/m2;
m278;21;Haskörf-testmag négyzet hányados;hask/testmagasság2;cm/m2;
m278;22;FEV1 besorolásai (-70-50-30-);nem besorolható;NULL;
m278;23;FEV1 besorolásai (-70-50-30-);normális;NULL;
m278;24;FEV1 besorolásai (-70-50-30-);csökkent;NULL;
m279;0;FEV1 besorolásai (-70-50-30-);erõsen csökkent;NULL;
m279;1;FEV1 besorolásai (-70-50-30-);kórosan csökkent;NULL;
m280;0;Zsírtömeg index;Nem számítható;Kg/m2;
m280;1;Zsírtömeg index;Testzsírtömeg index;Kg/m2;
m281;0;Vázizomtömeg index;Nem számítható;Kg/m2;m266,m283,m761,m264,m760,m1064,
m281;1;Vázizomtömeg index;Testzsírtömeg index;Kg/m2;m266,m283,m761,m264,m760,m1064,
m282;0;FEV1 besorolás (-75-50-30-);nem besorolható;NULL;
m282;1;FEV1 besorolás (-75-50-30-);normális;NULL;
m282;2;FEV1 besorolás (-75-50-30-);csökkent;NULL;
m282;3;FEV1 besorolás (-75-50-30-);erõsen csökkent;NULL;
m282;4;FEV1 besorolás (-75-50-30-);kórosan csökkent;NULL;
m282;5;Hasi zsírterület besorolása (-100-);nem besorolható;NULL;
m282;6;Hasi zsírterület besorolása (-100-);normális;NULL;
m283;0;Hasi zsírterület besorolása (-100-);emelkedett;NULL;m1064,
m283;1;Vércukorszintek besorolása (-6.1-);Nem besorolható;mmol/l;m1064,
m283;2;Vércukorszintek besorolása (-6.1-);normális;mmol/l;m1064,
m283;3;Vércukorszintek besorolása (-6.1-);emelkedett;mmol/l;m1064,
m284;0;Számított lakhely megyekód;NULL;NULL;m285,m219,m286,
m284;1;Visszérbetegség kockázati teszt pontszám;ismeretlen;NULL;m285,m219,m286,
m285;0;Visszérbetegség kock.teszt kiértékelése;eltérõ érték;NULL;m219,m286,
m286;0;Visszérbetegség kock.teszt kiértékelése;megfelelõ érték;NULL;
m286;1;Visszérbetegség kock.teszt kiértékelése;ismeretlen;NULL;
m287;0;Neuropathia vizsgalat értékelése;eltérõ érték;NULL;
m287;1;Neuropathia vizsgalat értékelése;megfelelõ érték;NULL;
m288;0;Neuropathia vizsgalat értékelése;ismeretlen;NULL;
m288;1;Bõrgyógyászati rizikó teszt pontszám;ismeretlen;NULL;
m288;2;Bõrgyógyászati rizikó teszt kiértékelése;eltérõ érték;NULL;
m288;3;Bõrgyógyászati rizikó teszt kiértékelése;megfelelõ érték;NULL;
m288;4;Bõrgyógyászati rizikó teszt kiértékelése;ismeretlen;NULL;
m289;0;Erõs dohányos?;nem;NULL;
m289;1;Erõs dohányos?;igen;NULL;
m290;0;Erõs dohányos?;nem ismert;NULL;
m290;1;Van/volt akut koronária szindróma?;nem;NULL;
m291;0;Van/volt akut koronária szindróma?;igen;NULL;
m291;1;Van/volt akut koronária szindróma?;nem ismert;NULL;
m291;2;Volt iszkémiás stroke-ja?;nem;NULL;
m291;3;Volt iszkémiás stroke-ja?;igen;NULL;
m291;4;Volt iszkémiás stroke-ja?;nem ismert;NULL;
m292;0;Van kritikus végtag iszkémia?;nem;NULL;
m292;1;Van kritikus végtag iszkémia?;igen;NULL;
m292;2;Van kritikus végtag iszkémia?;nem ismert;NULL;
m293;0;Jobb boltozatos láb?;nem;NULL;m1063,m1064,
m293;1;Jobb boltozatos láb?;igen;NULL;m1063,m1064,
m293;2;Jobb boltozatos láb?;nem ismert;NULL;m1063,m1064,
m295;-1;Jobb lúdtalp?;nem;NULL;
m296;0;Jobb lúdtalp?;igen;NULL;
m296;1;Jobb lúdtalp?;nem ismert;NULL;
m296;2;Jobb elõláb terhelt?;nem;NULL;
m297;0;Jobb elõláb terhelt?;igen;NULL;
m297;1;Jobb elõláb terhelt?;nem ismert;NULL;
m297;2;Jobb sarok terhelt?;nem;NULL;
m298;-1;Jobb sarok terhelt?;igen;NULL;
m299;0;Jobb sarok terhelt?;nem ismert;NULL;
m299;1;Jobb boka bedõlési szög;ismeretlen;NULL;
m299;2;Jobb boka kidõlési szög;ismeretlen;NULL;
m300;0;Bal boltozatos láb?;nem;NULL;m300,m1015,
m300;1;Bal boltozatos láb?;igen;NULL;m300,m1015,
m300;2;Bal boltozatos láb?;nem ismert;NULL;m300,m1015,
m301;0;Bal lúdtalp?;nem;NULL;m1015,
m301;1;Bal lúdtalp?;igen;NULL;m1015,
m301;2;Bal lúdtalp?;nem ismert;NULL;m1015,
m302;0;Bal elõláb terhelt?;nem;NULL;m1015,
m302;1;Bal elõláb terhelt?;igen;NULL;m1015,
m302;2;Bal elõláb terhelt?;nem ismert;NULL;m1015,
m303;0;Bal sarok terhelt?;nem;NULL;m1015,
m303;1;Bal sarok terhelt?;igen;NULL;m1015,
m303;2;Bal sarok terhelt?;nem ismert;NULL;m1015,
m304;0;Bal boka bedõlési szög;ismeretlen;NULL;
m304;1;Bal boka kidõlési szög;ismeretlen;NULL;
m304;2;Van ateroszklerotikus eredetû koronária?;nem;NULL;
m305;0;Van ateroszklerotikus eredetû koronária?;igen;NULL;
m305;1;Van ateroszklerotikus eredetû koronária?;nem ismert;NULL;
m305;2;kardiovaszkuláris tün.mentes nagy kock A;nem;NULL;
m306;0;kardiovaszkuláris tün.mentes nagy kock A;igen;NULL;
m306;1;kardiovaszkuláris tün.mentes nagy kock A;nem ismert;NULL;
m306;2;Van igazolt szubklinikus ateroszklerózis;nem;NULL;
m307;0;Van igazolt szubklinikus ateroszklerózis;igen;NULL;
m307;1;Van igazolt szubklinikus ateroszklerózis;nem ismert;NULL;
m307;2;Van protienuria?;nem;NULL;
m308;0;Van protienuria?;igen;NULL;
m309;0;Van protienuria?;nem ismert;NULL;
m310;0;kardiovaszkuláris tün.mentes nagy kock B;nem;NULL;
m310;1;kardiovaszkuláris tün.mentes nagy kock B;igen;NULL;
m310;2;kardiovaszkuláris tün.mentes nagy kock B;nem ismert;NULL;
m311;0;Fiatalkorúak relatív EURO-SCORE kockázati szorzója;nem számítható;NULL;
m311;1;Fiatalkorúak relatív EURO-SCORE kockázati szorzója;relatív kockázati szorzó;NULL;
m311;2;Ismert-e erectilis dysfunctio (ED, merevedési probléma)?;nem;NULL;
m312;0;Ismert-e erectilis dysfunctio (ED, merevedési probléma)?;igen;NULL;
m312;1;Ismert-e erectilis dysfunctio (ED, merevedési probléma)?;nem ismert;NULL;
m312;2;Van megállapított COPD?;nem;NULL;
m313;0;Van megállapított COPD?;igen;NULL;
m313;1;Van megállapított COPD?;nem ismert;NULL;
m313;2;Jellemzõ-e az ön kezében v. lábában égõ érzés?;nem;NULL;
m314;0;Jellemzõ-e az ön kezében v. lábában égõ érzés?;igen;NULL;
m315;0;Jellemzõ-e az ön kezében v. lábában égõ érzés?;nem ismert;NULL;
m316;0;Jellemzõ-e az ön kezében v. lábában bizsergés?;nem;NULL;m75,m76,m99,m1015,
m316;1;Jellemzõ-e az ön kezében v. lábában bizsergés?;igen;NULL;m75,m76,m99,m1015,
m316;2;Jellemzõ-e az ön kezében v. lábában bizsergés?;nem ismert;NULL;m75,m76,m99,m1015,
m317;0;Jellemzõ-e az ön kezében v. lábában zsibbadás?;nem;NULL;m1015,
m317;1;Jellemzõ-e az ön kezében v. lábában zsibbadás?;igen;NULL;m1015,
m317;2;Jellemzõ-e az ön kezében v. lábában zsibbadás?;nem ismert;NULL;m1015,
m318;0;Jellemzõ-e az ön kezében v. lábában tûszúrásszerû érzés?;nem;NULL;m317,m1015,
m318;1;Jellemzõ-e az ön kezében v. lábában tûszúrásszerû érzés?;igen;NULL;m317,m1015,
m318;2;Jellemzõ-e az ön kezében v. lábában tûszúrásszerû érzés?;nem ismert;NULL;m317,m1015,
m319;0;Neuropathia vizsgálat pontszám;NULL;NULL;m78,m317,m1015,
m319;1;Szüleinél elõfordul visszeresség?;nincs válasz;NULL;m78,m317,m1015,
m319;2;Szüleinél elõfordul visszeresség?;Nem;NULL;m78,m317,m1015,
m320;0;Szüleinél elõfordul visszeresség?;Egyik szülõnél;NULL;m1015,
m320;1;Szüleinél elõfordul visszeresség?;Mindkét szülõnél;NULL;m1015,
m320;2;Szüleinél elõfordul visszeresség?;mindkettõnél, egyiküknél szövõdmény is (lábszárfekély);NULL;m1015,
m321;-1;Szokott Ön gyalogolni, úszni, kerékpározni, tornászni?;nincs válasz;NULL;
m321;1;Szokott Ön gyalogolni, úszni, kerékpározni, tornászni?;Igen, legalább heti 3 órát.;NULL;
m322;0;Szokott Ön gyalogolni, úszni, kerékpározni, tornászni?;kevesebb, mint heti 3 órát;NULL;
m322;1;Szokott Ön gyalogolni, úszni, kerékpározni, tornászni?;Ritkán (pl.: nyaraláskor);NULL;
m322;2;Szokott Ön gyalogolni, úszni, kerékpározni, tornászni?;Soha;NULL;
m323;0;Szokta nehéznek érezni a lábait?;nincs válasz;NULL;
m323;1;Szokta nehéznek érezni a lábait?;Soha;NULL;
m323;2;Szokta nehéznek érezni a lábait?;Ritkán;NULL;
m324;0;Szokta nehéznek érezni a lábait?;Gyakran;NULL;
m324;1;Szokta nehéznek érezni a lábait?;Szinte mindig erõsen fáj a lábam;NULL;
m324;2;Ez a nehézláb-érzés fokozódik;nincs válasz;NULL;
m325;0;Ez a nehézláb-érzés fokozódik;ha nem érzi nehéznek a lábát;NULL;
m325;1;Ez a nehézláb-érzés fokozódik;melegben? (0 pont!);NULL;
m325;2;Ez a nehézláb-érzés fokozódik;Mióta fogamzásgátlót, hormonpótlást kap? (1p);NULL;
m326;0;Ez a nehézláb-érzés fokozódik;menstruációt megelõzõen? (2p);NULL;
m326;1;nehézláb érzés fokozódás pontszám;részpont;NULL;
m326;2;Meg szokott dagadni a bokája?;nincs válasz;NULL;
m327;0;Meg szokott dagadni a bokája?;Soha;NULL;
m327;1;Meg szokott dagadni a bokája?;Csak melegben, vagy hosszú autó-, vonat-,busz-, repülõ út alatt;NULL;
m327;2;Meg szokott dagadni a bokája?;Igen, szinte mindennap, de csak estére;NULL;
m329;-1;Meg szokott dagadni a bokája?;Igen, mindennap, már reggeltõl;NULL;m341,m342,
m329;0;Nem (pontszám viszérbetegség kock);nem ismert;NULL;m341,m342,
m329;1;Nem (pontszám viszérbetegség kock);férfi;NULL;m341,m342,
m329;2;Nem (pontszám viszérbetegség kock);nõ;NULL;m341,m342,
m329;3;korcsoport besorolása (-14-29-45-);nem ismert;NULL;m341,m342,
m330;-1;korcsoport besorolása (-14-29-45-);14 év alatt;NULL;m341,m342,
m330;0;korcsoport besorolása (-14-29-45-);14-29 év;NULL;m341,m342,
m330;1;korcsoport besorolása (-14-29-45-);30-45 év;NULL;m341,m342,
m330;2;korcsoport besorolása (-14-29-45-);45 év felett;NULL;m341,m342,
m330;3;Mióta mozgásszegény az életmódja? (Már nem sportol, munkája során napi 6 óránál többet ül, áll, vagy;nincs válasz;NULL;m341,m342,
m331;-1;Mióta mozgásszegény az életmódja? (Már nem sportol, munkája során napi 6 óránál többet ül, áll, vagy;Aktív életmódot folytatok, mozgok, sportolok;NULL;m341,m342,
m331;0;Mióta mozgásszegény az életmódja? (Már nem sportol, munkája során napi 6 óránál többet ül, áll, vagy;1-3 éve;NULL;m341,m342,
m331;1;Mióta mozgásszegény az életmódja? (Már nem sportol, munkája során napi 6 óránál többet ül, áll, vagy;3-10 éve;NULL;m341,m342,
m331;2;Mióta mozgásszegény az életmódja? (Már nem sportol, munkája során napi 6 óránál többet ül, áll, vagy;Több, mint 10 éve;NULL;m341,m342,
m331;3;Testsúlya a kívánt érték fölött van?;nincs válasz;NULL;m341,m342,
